Country,Country_Code,Year,Percentile,Indicator,Value
Nepal,NP,2014,pall,wnweal,4.3167
Nepal,NP,2015,p0p100,spllin,0.2085
Nepal,NP,2015,p0p50,sptinc,0.185
Nepal,NP,2015,p0p50,shweal,0.047
Nepal,NP,2015,pall,anweal,21949.3662
Nepal,NP,2015,pall,wnweal,4.298900000000001
Nepal,NP,2016,p0p100,spllin,0.2128
Nepal,NP,2016,p0p50,sptinc,0.1854
Nepal,NP,2016,p0p50,shweal,0.0471
Nepal,NP,2016,pall,anweal,23830.4273
Nepal,NP,2016,pall,wnweal,4.5549
Nepal,NP,2017,p0p100,spllin,0.2172
Nepal,NP,2017,p0p50,sptinc,0.1853
Nepal,NP,2017,p0p50,shweal,0.0471
Nepal,NP,2017,pall,anweal,25617.4405
Nepal,NP,2017,pall,wnweal,4.5876
Nepal,NP,2018,p0p100,spllin,0.2208
Nepal,NP,2018,p0p50,sptinc,0.1853
Nepal,NP,2018,p0p50,shweal,0.047
Nepal,NP,2018,pall,anweal,26652.0713
Nepal,NP,2018,pall,wnweal,4.5238
Nepal,NP,2019,p0p100,spllin,0.2198
Nepal,NP,2019,p0p50,sptinc,0.1853
Nepal,NP,2019,p0p50,shweal,0.047
Nepal,NP,2019,pall,anweal,26767.0511
Nepal,NP,2019,pall,wnweal,4.581700000000001
Nepal,NP,2020,p0p100,spllin,0.2207
Nepal,NP,2020,p0p50,sptinc,0.1853
Nepal,NP,2020,p0p50,shweal,0.0471
Nepal,NP,2020,pall,anweal,27322.9124
Nepal,NP,2020,pall,wnweal,4.8815
Nepal,NP,2021,p0p100,spllin,0.2202
Nepal,NP,2021,p0p50,sptinc,0.1853
Nepal,NP,2021,p0p50,shweal,0.0472
Nepal,NP,2021,pall,anweal,26778.7614
Nepal,NP,2021,pall,wnweal,4.7392
Nepal,NP,2022,p0p100,spllin,0.2207
Nepal,NP,2022,p0p50,sptinc,0.1853
Nepal,NP,2022,p0p50,shweal,0.0472
Nepal,NP,2022,pall,anweal,27413.9051
Nepal,NP,2022,pall,wnweal,4.9161
Nepal,NP,2023,p0p100,spllin,0.2237
Nepal,NP,2023,p0p50,sptinc,0.1853
Nepal,NP,2023,p0p50,shweal,0.0471
Nepal,NP,2023,pall,anweal,29096.8147
Nepal,NP,2023,pall,wnweal,4.8847
Nepal,NP,2024,p0p100,spllin,0.22679999
Nepal,NP,2024,p0p50,sptinc,0.1853
Nepal,NP,2024,p0p50,shweal,0.0472
Nepal,NP,2024,pall,anweal,30061.8844
Nepal,NP,2024,pall,wnweal,4.8847
Pakistan,PK,2000,p0p100,spllin,0.047899999
Pakistan,PK,2000,p0p50,sptinc,0.1827
Pakistan,PK,2000,p0p50,shweal,0.0462
Pakistan,PK,2000,pall,anweal,17184.6694
Pakistan,PK,2000,pall,wnweal,3.3823
Pakistan,PK,2001,p0p100,spllin,0.048300002
Pakistan,PK,2001,p0p50,sptinc,0.1861
Pakistan,PK,2001,p0p50,shweal,0.0466
Pakistan,PK,2001,pall,anweal,16738.104
Pakistan,PK,2001,pall,wnweal,3.3139
Pakistan,PK,2002,p0p100,spllin,0.050299998
Pakistan,PK,2002,p0p50,sptinc,0.1806
Pakistan,PK,2002,p0p50,shweal,0.0463
Pakistan,PK,2002,pall,anweal,16686.7962
Pakistan,PK,2002,pall,wnweal,3.2727
Pakistan,PK,2003,p0p100,spllin,0.056400001
Pakistan,PK,2003,p0p50,sptinc,0.1745
Pakistan,PK,2003,p0p50,shweal,0.046
Pakistan,PK,2003,pall,anweal,17822.5768
Pakistan,PK,2003,pall,wnweal,3.3676
Pakistan,PK,2004,p0p100,spllin,0.052299999
Pakistan,PK,2004,p0p50,sptinc,0.1718
Pakistan,PK,2004,p0p50,shweal,0.0458
Pakistan,PK,2004,pall,anweal,18914.6227
Pakistan,PK,2004,pall,wnweal,3.4149
Pakistan,PK,2005,p0p100,spllin,0.061500002
Pakistan,PK,2005,p0p50,sptinc,0.1687
Pakistan,PK,2005,p0p50,shweal,0.0444
Pakistan,PK,2005,pall,anweal,19450.09
Pakistan,PK,2005,pall,wnweal,3.38
Pakistan,PK,2006,p0p100,spllin,0.0594
Pakistan,PK,2006,p0p50,sptinc,0.1748
Pakistan,PK,2006,p0p50,shweal,0.0457
Pakistan,PK,2006,pall,anweal,20896.4805
Pakistan,PK,2006,pall,wnweal,3.5611
Pakistan,PK,2007,p0p100,spllin,0.0535
Pakistan,PK,2007,p0p50,sptinc,0.1803
Pakistan,PK,2007,p0p50,shweal,0.0464
Pakistan,PK,2007,pall,anweal,21376.6895
Pakistan,PK,2007,pall,wnweal,3.609
Pakistan,PK,2008,p0p100,spllin,0.060800001
Pakistan,PK,2008,p0p50,sptinc,0.1878
Pakistan,PK,2008,p0p50,shweal,0.0469
Pakistan,PK,2008,pall,anweal,22279.6754
Pakistan,PK,2008,pall,wnweal,3.7594
Pakistan,PK,2009,p0p100,spllin,0.055
Pakistan,PK,2009,p0p50,sptinc,0.1914
Pakistan,PK,2009,p0p50,shweal,0.0472
